Day,Meal Type,Food,Regional Type,Food Type,Trimester
Wednesday,Snack1,ColocasiaArbi Dry,North Indian,Veg,Trimester 2
Wednesday,Snack1,MintPudina Raita,North Indian,Veg,Trimester 2
Wednesday,Snack1,Mixed Flour Missi Roti,North Indian,Veg,Trimester 2
Friday,Breakfast,Pear,North Indian,Veg,Trimester 3
Friday,Breakfast,Nashpati,North Indian,Veg,Trimester 3
Friday,Breakfast,Guava,North Indian,Veg,Trimester 3
Friday,Breakfast,Amrud,North Indian,Veg,Trimester 3
Friday,Breakfast,Mixed Nuts,North Indian,Veg,Trimester 3
Friday,Breakfast,Apple Seb,North Indian,Veg,Trimester 3
Friday,Lunch,Lassi,North Indian,Veg,Trimester 3
Friday,Lunch,BananaKela,North Indian,Veg,Trimester 3
Friday,Lunch,Walnut,North Indian,Veg,Trimester 3
Friday,Lunch,Akhrot Salad,North Indian,Veg,Trimester 3
Friday,Lunch,Buttermilk,North Indian,Veg,Trimester 3
Friday,Lunch,Chhaach,North Indian,Veg,Trimester 3
Friday,Lunch,Grapes,North Indian,Veg,Trimester 3
Friday,Lunch,Angoor,North Indian,Veg,Trimester 3
Friday,Lunch,Almond,North Indian,Veg,Trimester 3
Friday,Lunch,Badaam Milk,North Indian,Veg,Trimester 3
Friday,Lunch,Wheat Rusk,North Indian,Veg,Trimester 3
Friday,Snack1,Bottle Gourd Lauki Kofta,North Indian,Veg,Trimester 3
Friday,Snack1,Curry,North Indian,Veg,Trimester 3
Friday,Snack1,RadishMooli Salad,North Indian,Veg,Trimester 3
Friday,Snack1,ChickpeaflourBesan,North Indian,Veg,Trimester 3
Friday,Snack1,Roti,North Indian,Veg,Trimester 3
Friday,Snack1,Mustard Greens Sarson,North Indian,Veg,Trimester 3
Friday,Snack1,Kasaag,North Indian,Veg,Trimester 3
Friday,Snack1,JaggeryGur And Curd,North Indian,Veg,Trimester 3
Friday,Snack1,Dahi,North Indian,Veg,Trimester 3
Friday,Snack1,Makkekiroti,North Indian,Veg,Trimester 3
Friday,Snack1,Black Eyed Peas,North Indian,Veg,Trimester 3
Friday,Snack1,Lobhia,North Indian,Veg,Trimester 3
Friday,Snack1,Round Gourd Tinda,North Indian,Veg,Trimester 3
Friday,Snack1,Sabzi,North Indian,Veg,Trimester 3
Friday,Snack1,FenugreekMethi Roti,North Indian,Veg,Trimester 3
Friday,Snack1,Cauliflower Gobhi,North Indian,Veg,Trimester 3
Friday,Snack1,Parantha,North Indian,Veg,Trimester 3
Friday,Snack1,Raita,North Indian,Veg,Trimester 3
Friday,Snack1,Mangopulp Aam Ras,North Indian,Veg,Trimester 3
Monday,Breakfast,Sapodilla,North Indian,Veg,Trimester 3
Monday,Breakfast,Chikoo,North Indian,Veg,Trimester 3
Monday,Breakfast,Pomegranate,North Indian,Veg,Trimester 3
Monday,Breakfast,Anaar,North Indian,Veg,Trimester 3
Monday,Breakfast,Custard,North Indian,Veg,Trimester 3
Monday,Breakfast,Apple,North Indian,Veg,Trimester 3
Monday,Breakfast,Sitaphal,North Indian,Veg,Trimester 3
Monday,Lunch,Lemonade,North Indian,Veg,Trimester 3
Monday,Lunch,Nimbupani,North Indian,Veg,Trimester 3
Monday,Lunch,Puffed Rice,North Indian,Veg,Trimester 3
Monday,Lunch,Murmura With,North Indian,Veg,Trimester 3
Monday,Lunch,Peanuts,North Indian,Veg,Trimester 3
Monday,Lunch,Moongphali,North Indian,Veg,Trimester 3
Monday,Lunch,Lassi,North Indian,Veg,Trimester 3
Monday,Lunch,Murmura,North Indian,Veg,Trimester 3
Monday,Lunch,With Roasted,North Indian,Veg,Trimester 3
Monday,Lunch,Tea,North Indian,Veg,Trimester 3
Monday,Lunch,Wheat Rusk,North Indian,Veg,Trimester 3
Monday,Lunch,FigAnjeer,North Indian,Veg,Trimester 3
Monday,Lunch,And Banana,North Indian,Veg,Trimester 3
Monday,Lunch,Kela Smoothie,North Indian,Veg,Trimester 3
Monday,Snack1,Mung Bean Moong Dal,North Indian,Veg,Trimester 3
Monday,Snack1,Mushroom And Tomato,North Indian,Veg,Trimester 3
Monday,Snack1,Khumb Tamatar Sabzi,North Indian,Veg,Trimester 3
Monday,Snack1,Beetroot And Onion,North Indian,Veg,Trimester 3
Monday,Snack1,Chukandarpyaaz Salad,North Indian,Veg,Trimester 3
Monday,Snack1,Mixed Flour Missi Roti,North Indian,Veg,Trimester 3
Monday,Snack1,Vegetable Khichdi,North Indian,Veg,Trimester 3
Monday,Snack1,PomegranateAnaar Raita,North Indian,Veg,Trimester 3
Monday,Snack1,Peasand Foxnut Matar,North Indian,Veg,Trimester 3
Monday,Snack1,Makhana Curry,North Indian,Veg,Trimester 3
Monday,Snack1,Bitter Gourd Karela,North Indian,Veg,Trimester 3
Monday,Snack1,Sabzi,North Indian,Veg,Trimester 3
Monday,Snack1,Curd Dahi,North Indian,Veg,Trimester 3
Monday,Snack1,Pearl Millet Bajra Roti,North Indian,Veg,Trimester 3
Monday,Snack1,Mixed Vegetable Pulao,North Indian,Veg,Trimester 3
Monday,Snack1,Mint Pudina Raita,North Indian,Veg,Trimester 3
Monday,Snack1,Cucumber Kheera,North Indian,Veg,Trimester 3
Monday,Snack1,Salad,North Indian,Veg,Trimester 3
Saturday,Breakfast,Papaya,North Indian,Veg,Trimester 3
Saturday,Breakfast,Papita,North Indian,Veg,Trimester 3
Saturday,Breakfast,Banana,North Indian,Veg,Trimester 3
Saturday,Breakfast,Kela,North Indian,Veg,Trimester 3
Saturday,Breakfast,Papaya Papita,North Indian,Veg,Trimester 3
Saturday,Breakfast,Dates,North Indian,Veg,Trimester 3
Saturday,Breakfast,Khajoor,North Indian,Veg,Trimester 3
Saturday,Dinner,Lan | Thirdtrimester: Plan 1,North Indian,Veg,Trimester 3
Saturday,Dinner,N Energy Boost. Vitamin K,North Indian,Veg,Trimester 3
Saturday,Dinner,E Rich In Vitamin K.,North Indian,Veg,Trimester 3
Saturday,Dinner,Baby. We'Ve Highlighted In,North Indian,Veg,Trimester 3
Saturday,Dinner,E Highlighted In Dark Orange,North Indian,Veg,Trimester 3
Saturday,Dinner,Ing And Afternoon Snacks!,North Indian,Veg,Trimester 3
Saturday,Dinner,Dinner,North Indian,Veg,Trimester 3
Saturday,Dinner,Muttoncurry,North Indian,Non-Veg,Trimester 3
Saturday,Dinner,CorianderDhaniya,North Indian,Veg,Trimester 3
Saturday,Dinner,Rice,North Indian,Veg,Trimester 3
Saturday,Dinner,Onion And Tomato,North Indian,Veg,Trimester 3
Saturday,Dinner,Pyaaz Tamatar Raita,North Indian,Veg,Trimester 3
Saturday,Dinner,BlackgramUrad,North Indian,Veg,Trimester 3
Saturday,Dinner,Dal,North Indian,Veg,Trimester 3
Saturday,Dinner,Fenugreekpotato,North Indian,Veg,Trimester 3
Saturday,Dinner,Methialoo Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Curd Dahi,North Indian,Veg,Trimester 3
Saturday,Dinner,Chapati/Rice,North Indian,Veg,Trimester 3
Saturday,Dinner,MixedMilijhuli Dal,North Indian,Veg,Trimester 3
Saturday,Dinner,Chickentikka,North Indian,Non-Veg,Trimester 3
Saturday,Dinner,GreengramHari,North Indian,Veg,Trimester 3
Saturday,Dinner,Moong Sprouts,North Indian,Veg,Trimester 3
Saturday,Dinner,Salad,North Indian,Veg,Trimester 3
Saturday,Dinner,Minced Meatwith,North Indian,Non-Veg,Trimester 3
Saturday,Dinner,PeasKeemamatar,North Indian,Veg,Trimester 3
Saturday,Dinner,Beetroot Chukandar,North Indian,Veg,Trimester 3
Saturday,Dinner,Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Tandoorichicken,North Indian,Non-Veg,Trimester 3
Saturday,Dinner,Beansandcarrot,North Indian,Veg,Trimester 3
Saturday,Dinner,Beensgajar Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Chapati,North Indian,Veg,Trimester 3
Saturday,Dinner,Karahichicken,North Indian,Non-Veg,Trimester 3
Saturday,Dinner,Cumin Jeera Rice,North Indian,Veg,Trimester 3
Saturday,Dinner,Onion Cucumber,North Indian,Veg,Trimester 3
Saturday,Dinner,Pyaazkheera Salad,North Indian,Veg,Trimester 3
Saturday,Dinner,Mutton Biryani,North Indian,Non-Veg,Trimester 3
Saturday,Dinner,Mint And Onion,North Indian,Veg,Trimester 3
Saturday,Dinner,Pudina Pyaaz Raita,North Indian,Veg,Trimester 3
Saturday,Dinner,Www.Babycenter.In,North Indian,Veg,Trimester 3
Saturday,Lunch,Mango Aam,North Indian,Veg,Trimester 3
Saturday,Lunch,Panna,North Indian,Veg,Trimester 3
Saturday,Lunch,Roasted,North Indian,Veg,Trimester 3
Saturday,Lunch,Chickpeas,North Indian,Veg,Trimester 3
Saturday,Lunch,Chana,North Indian,Veg,Trimester 3
Saturday,Lunch,Coconut Water,North Indian,Veg,Trimester 3
Saturday,Lunch,Nariyalpani,North Indian,Veg,Trimester 3
Saturday,Lunch,Mixed Nutsand,North Indian,Veg,Trimester 3
Saturday,Lunch,Dates,North Indian,Veg,Trimester 3
Saturday,Lunch,Khajoor,North Indian,Veg,Trimester 3
Saturday,Lunch,Jal Jeera,North Indian,Veg,Trimester 3
Saturday,Lunch,Pomegranate,North Indian,Veg,Trimester 3
Saturday,Lunch,Anaar,North Indian,Veg,Trimester 3
Saturday,Lunch,Lassi,North Indian,Veg,Trimester 3
Saturday,Lunch,Almonds,North Indian,Veg,Trimester 3
Saturday,Lunch,Badaam And,North Indian,Veg,Trimester 3
Saturday,Lunch,Walnuts,North Indian,Veg,Trimester 3
Saturday,Lunch,Akhrot,North Indian,Veg,Trimester 3
Saturday,Snack1,RedlentilMasoor Dal,North Indian,Veg,Trimester 3
Saturday,Snack1,Round Gourd Tinda Sabzi,North Indian,Veg,Trimester 3
Saturday,Snack1,Cucumber Kheera Raita,North Indian,Veg,Trimester 3
Saturday,Snack1,Mint Pudina Parantha,North Indian,Veg,Trimester 3
Saturday,Snack1,BesanGatta Curry,North Indian,Veg,Trimester 3
Saturday,Snack1,Bottle Gourd Lauki Sabzi,North Indian,Veg,Trimester 3
Saturday,Snack1,Sorghum Flour Jowar,North Indian,Veg,Trimester 3
Saturday,Snack1,Roti/Rice,North Indian,Veg,Trimester 3
Saturday,Snack1,Onion Pyaaz Parantha,North Indian,Veg,Trimester 3
Saturday,Snack1,Red Lentils Masoor,North Indian,Veg,Trimester 3
Saturday,Snack1,Dal,North Indian,Veg,Trimester 3
Saturday,Snack1,Beansand Coconut,North Indian,Veg,Trimester 3
Saturday,Snack1,Beensnariyal Sabzi,North Indian,Veg,Trimester 3
Saturday,Snack1,Chapati/Rice,North Indian,Veg,Trimester 3
Thursday,Breakfast,Watermelon,North Indian,Veg,Trimester 3
Thursday,Breakfast,Tarbooj,North Indian,Veg,Trimester 3
Thursday,Breakfast,Apple Seb,North Indian,Veg,Trimester 3
Thursday,Breakfast,Grapes,North Indian,Veg,Trimester 3
Thursday,Breakfast,Angoor,North Indian,Veg,Trimester 3
Thursday,Lunch,Jal Jeera,North Indian,Veg,Trimester 3
Thursday,Lunch,Cucumber,North Indian,Veg,Trimester 3
Thursday,Lunch,Kheera And,North Indian,Veg,Trimester 3
Thursday,Lunch,CarrotGajar,North Indian,Veg,Trimester 3
Thursday,Lunch,Sticks,North Indian,Veg,Trimester 3
Thursday,Lunch,Chickpeas,North Indian,Veg,Trimester 3
Thursday,Lunch,Chhole Chaat,North Indian,Veg,Trimester 3
Thursday,Lunch,Sattudrink,North Indian,Veg,Trimester 3
Thursday,Lunch,Mango Aam,North Indian,Veg,Trimester 3
Thursday,Lunch,Panna,North Indian,Veg,Trimester 3
Thursday,Lunch,Puffedrice,North Indian,Veg,Trimester 3
Thursday,Lunch,Murmura,North Indian,Veg,Trimester 3
Thursday,Lunch,With Peanuts,North Indian,Veg,Trimester 3
Thursday,Lunch,Moongphali,North Indian,Veg,Trimester 3
Thursday,Snack1,Kidney Beans Rajma,North Indian,Veg,Trimester 3
Thursday,Snack1,CabbagePatta Gobhi,North Indian,Veg,Trimester 3
Thursday,Snack1,Sabzi,North Indian,Veg,Trimester 3
Thursday,Snack1,Cumin Jeera Rice,North Indian,Veg,Trimester 3
Thursday,Snack1,Raita,North Indian,Veg,Trimester 3
Thursday,Snack1,Egg Curry,North Indian,Non-Veg,Trimester 3
Thursday,Snack1,Cabbagetomato Patta-,North Indian,Veg,Trimester 3
Thursday,Snack1,Gobhitamatar Sabzi,North Indian,Veg,Trimester 3
Thursday,Snack1,Chapati/Rice,North Indian,Veg,Trimester 3
Thursday,Snack1,Rotiwrap With,North Indian,Veg,Trimester 3
Thursday,Snack1,Mushroom Khumb And,North Indian,Veg,Trimester 3
Thursday,Snack1,Cottage Cheese Paneer,North Indian,Veg,Trimester 3
Thursday,Snack1,Mint Pudina Chutney,North Indian,Veg,Trimester 3
Thursday,Snack1,MixedMilijhuli Dal,North Indian,Veg,Trimester 3
Thursday,Snack1,Pumpkin Kaddu Sabzi,North Indian,Veg,Trimester 3
Thursday,Snack1,Beetroot Chukandar,North Indian,Veg,Trimester 3
Thursday,Snack1,Salad,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Custard,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Apple,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Sitaphal,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Watermelon,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Tarbooj,North Indian,Veg,Trimester 3
Tuesday,Breakfast,BananaKela,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Guava,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Amrud,North Indian,Veg,Trimester 3
Tuesday,Lunch,Buttermilk,North Indian,Veg,Trimester 3
Tuesday,Lunch,Chhaach,North Indian,Veg,Trimester 3
Tuesday,Lunch,Revri,North Indian,Veg,Trimester 3
Tuesday,Lunch,MangoAam,North Indian,Veg,Trimester 3
Tuesday,Lunch,Milkshake,North Indian,Veg,Trimester 3
Tuesday,Lunch,CarrotGajar,North Indian,Veg,Trimester 3
Tuesday,Lunch,Sticks,North Indian,Veg,Trimester 3
Tuesday,Lunch,Apple Seb,North Indian,Veg,Trimester 3
Tuesday,Lunch,And Carrot,North Indian,Veg,Trimester 3
Tuesday,Lunch,Gajar Juice,North Indian,Veg,Trimester 3
Tuesday,Lunch,Puffed Rice,North Indian,Veg,Trimester 3
Tuesday,Lunch,Murmura,North Indian,Veg,Trimester 3
Tuesday,Lunch,With Peanuts,North Indian,Veg,Trimester 3
Tuesday,Lunch,Moongphali,North Indian,Veg,Trimester 3
Tuesday,Lunch,Coconut Water,North Indian,Veg,Trimester 3
Tuesday,Lunch,Nariyalpani,North Indian,Veg,Trimester 3
Tuesday,Lunch,Sweet Potato,North Indian,Veg,Trimester 3
Tuesday,Lunch,Shakarkandi,North Indian,Veg,Trimester 3
Tuesday,Lunch,Chaat,North Indian,Veg,Trimester 3
Tuesday,Snack1,Soyaand PeaMatar,North Indian,Veg,Trimester 3
Tuesday,Snack1,Curry,North Indian,Veg,Trimester 3
Tuesday,Snack1,Capsicum Shimlamirch,North Indian,Veg,Trimester 3
Tuesday,Snack1,And Cauliflower Phool,North Indian,Veg,Trimester 3
Tuesday,Snack1,Gobhi Sabzi,North Indian,Veg,Trimester 3
Tuesday,Snack1,Parantha,North Indian,Veg,Trimester 3
Tuesday,Snack1,Black Gram Urad Dal,North Indian,Veg,Trimester 3
Tuesday,Snack1,Fenugreekand Potato,North Indian,Veg,Trimester 3
Tuesday,Snack1,Methialoo Sabzi,North Indian,Veg,Trimester 3
Tuesday,Snack1,Multi Grain Chapati/Rice,North Indian,Veg,Trimester 3
Tuesday,Snack1,Red Lentils Masoor Dal,North Indian,Veg,Trimester 3
Tuesday,Snack1,OkraBhindi Sabzi,North Indian,Veg,Trimester 3
Tuesday,Snack1,Pineapple Ananaas,North Indian,Veg,Trimester 3
Tuesday,Snack1,Raita,North Indian,Veg,Trimester 3
Tuesday,Snack1,Chapati/Rice,North Indian,Veg,Trimester 3
Tuesday,Snack1,Peasand Cottage,North Indian,Veg,Trimester 3
Tuesday,Snack1,Cheese Matar Paneer,North Indian,Veg,Trimester 3
Tuesday,Snack1,Bitter Gourd Karela,North Indian,Veg,Trimester 3
Tuesday,Snack1,Sabzi,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Mango,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Aam,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Pear,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Nashpati,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Pear Nashpati,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Orange,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Santara,North Indian,Veg,Trimester 3
Wednesday,Lunch,Coconut Water,North Indian,Veg,Trimester 3
Wednesday,Lunch,Nariyalpani,North Indian,Veg,Trimester 3
Wednesday,Lunch,Sweet Potato,North Indian,Veg,Trimester 3
Wednesday,Lunch,Shakarkandi,North Indian,Veg,Trimester 3
Wednesday,Lunch,Chaat,North Indian,Veg,Trimester 3
Wednesday,Lunch,Sweetlime,North Indian,Veg,Trimester 3
Wednesday,Lunch,Mausambi,North Indian,Veg,Trimester 3
Wednesday,Lunch,Juice,North Indian,Veg,Trimester 3
Wednesday,Lunch,CornMakka,North Indian,Veg,Trimester 3
Wednesday,Lunch,Lemonade,North Indian,Veg,Trimester 3
Wednesday,Lunch,Nimbupani,North Indian,Veg,Trimester 3
Wednesday,Lunch,Dhokla,North Indian,Veg,Trimester 3
Wednesday,Lunch,Grape,North Indian,Veg,Trimester 3
Wednesday,Lunch,Angoor Juice,North Indian,Veg,Trimester 3
Wednesday,Lunch,Handful Of Nuts,North Indian,Veg,Trimester 3
Wednesday,Lunch,And Raisins,North Indian,Veg,Trimester 3
Wednesday,Lunch,Kishmish,North Indian,Veg,Trimester 3
Wednesday,Snack1,Cottage Cheese Paneer,North Indian,Veg,Trimester 3
Wednesday,Snack1,Curry,North Indian,Veg,Trimester 3
Wednesday,Snack1,OkraBhindi Sabzi,North Indian,Veg,Trimester 3
Wednesday,Snack1,Chapati/Rice,North Indian,Veg,Trimester 3
Wednesday,Snack1,Soyaand Vegetable Curry,North Indian,Veg,Trimester 3
Wednesday,Snack1,Radish And Springonion,North Indian,Veg,Trimester 3
Wednesday,Snack1,Mooliharipyaaz Salad,North Indian,Veg,Trimester 3
Wednesday,Snack1,Curd Dahi,North Indian,Veg,Trimester 3
Wednesday,Snack1,Finger Millet Ragi Roti,North Indian,Veg,Trimester 3
Wednesday,Snack1,Mungbean Moong Dal,North Indian,Veg,Trimester 3
Wednesday,Snack1,Green Banana,North Indian,Veg,Trimester 3
Wednesday,Snack1,Kachchakela Sabzi,North Indian,Veg,Trimester 3
Wednesday,Snack1,Rice,North Indian,Veg,Trimester 3
Wednesday,Snack1,Vegetable Kadhi,North Indian,Veg,Trimester 3
Wednesday,Snack1,Roasted Papad,North Indian,Veg,Trimester 3
